sex,bdate,city,groups,careers
м,,Пермь,ЧП ДТП Пермь; Пермь Активная; Хабр; Кинопоиск; Properm.ru — новости Перми и края; Импроком; Группа КИНО; Nature Science; Dream Cast; Торты на заказ Добрянка; Подслушано в Добрянке [16+]; Playstation Plus Deluxe | Турция; [BadComedian]; Habrahabr | Хабрахабр | Habr | Хабр - fun page; PlayХит | PlayStation Store; УРАЛОВЕД ☼ Урал • Краеведение • Туризм; Сарказм; PS Store Турция | PS5 | PS4 | PlayStation; Время - вперёд!; Другая фотография; на дальней станции сойду; Музейный комплекс; Анна Ураева; Playstation Store PS Турция | TurkyWay; Художник Nastya Kulakovskaya (Drakonoart); Zivert; TYxCΛ; 1C программист; Намалевич; СПЕКТР; Правила жизни; Фотография - обработка фото - нейрофото; The Witcher[HUB] Новости по Ведьмаку; GeekBrains; RADIO TAPOK; Infogra.ru — Лучшее для дизайнера; Duran; Eda.ru; Игорь Губерман; Типичный Велосипедист [ТВ],Системный Администратор; Программист 1С; Ведущий программист; Старший разработчик 1С; Ведущий разработчик 1С
ж,,,,
м,,Севастополь,"Champions Family; Смотри, что я нашел на AliExpress; ПОДСЛУШАНО В СЕВАСТОПОЛЕ; Илья Варламов; Блог Александра Иванова: инвестиции с умом; Шедевры рекламы; Автоподбор от ""Fog Expert""  Крым, Севастополь.; ""ЭКО-ПИК"" сеть мясных магазинов; Figma; ИЗ КРЫМА С ЛЮБОВЬЮ; TRUE GYM MMA | UFC; Работа для дизайнеров: вакансии и заказы; Лепра; journal minimalism; Крым – Полуостров сокровищ!; ВК «Зенит-Казань»; Пляж ""Серебряный"", Севастополь, Балаклава, Крым.; Объявления Севастополя; Midjourney — арты от нейросети; Артемий Лебедев; Клуб Путешественников Туризм|Рыбалка|Охота; Hardcore Running; 8 из 10ти; Десигн; Мир Дизайна; HistoryPorn; Другой Севастополь; Вячеслав Красильников: официальный фан-клуб; Alexey Bychkov: Дизайн и фриланс; ЗАКАЗ НА ДИЗАЙН: заказать сайт, логотип, фриланс; Лучшие фотографы и модели; ADME; Russian Traveler; СПОРТИВНАЯ МЕДИЦИНА. ОРТОПЕДИЯ. РЕАБИЛИТАЦИЯ; Чубакка; Indie Rock Universe; Radio ROKS; Алкоголик; Единорог; Другая Музыка",
м,,Псков,,
м,10.5.1992,,Мемуары ценителей научных мемов; BMF; контур гуся; Жирен и красив; мы вам перезвоним; Comics King; IT FOLLOWS; Кеды Кастанеды; Котизм; Теренс Маккенна  /  Terence McKenna; Карлос Кастанеда | Самопознание; веские поводы бросить универ; Вижу рифмы; Книжная полка; Архив эскизов для тату.; Тату Краснодар | Wolfberry Tattoo; Нейрокульт; Книга животных; 5 интересных фактов; HistoryPorn; oo11d; E D I F Y; Art and Soul; Cyberpunk | Art; Blender Art; Underground Art; Midjourney — арты от нейросети; Путь воина. Ты можешь всё; Бульба; Saturation; Английский язык; The Adventure Begins; Борщ по-буддийски; В кислоте да не в обиде; ПОДСОЗНАНИЕ | Развитие личности; zabor,
ж,,,"Газпром газораспределение Смоленск; Важное в Смоленске; Подслушано Смоленск; Черный список | Смоленск; Отель Holiday Inn 4* Калининград; Газпром межрегионгаз Рязань; Едем в Калининград; fashionista; Подслушано ВДГО; SVOY LOFT; Пижамы, одежда для дома  от Кимоно; Лентач; Just English; РЯЗАНЬГОРГАЗ; Церебро Таргет | продвижение и реклама бизнеса; Спорт в Смоленске Z; Газ для России; Отель Obolensky | Оболенский; Вести-Смоленск; Мобильная фотография; Студия йоги VMECTE | СМОЛЕНСК; Клуб Газовиков; Wow Реклама | Маркетинг; Fitness Life; Василий Анохин; Жирен и красив; Лепра; Удобный Смоленск; Министерство ЖКХ и энергетики Смоленской области; V Λ C U U M; Академическое Искусство; ИСКУССТВО НЕ ДЛЯ ЧАЙНИКОВ; B A R O Q U E; ООО «Газпром трансгаз Санкт-Петербург»; Вергилий; СВОЯ ПОЛКА | аренда полок | СМОЛЕНСК; М.Видео; диссертация ВКР Дипломы Курсовые Антиплагиат; neon files; Тинькофф",
м,19.6.1989,,"Тихий уголок; ЗШ; Закрома; котики228; ПАЦАНЫ И ЧАЙ; Добрячки!; animal memes; PostMem; Такой разный КОСПЛЕЙ; Федя Кот Вконтакте; Япония Japan 日本  Взгляд Изнутри; Ъуъ; С Юмором; НАЗАД В 90-е и 00-е; Санкт-Петербург и  область - север; с днем поздравляющих животных; MDK; Двач; пикчи на все случаи жизни; Твой НейроКотик; картинки с Neco-Arc; паблик для работников 5/2; MDK Петербург; Vintage Retro Pictures; Такояки | たこやき; UNUSUAL MEMES; PRO ЮМОР / БАЯН; Природа | Nature; MIDJOURNEY BOT (Нейросеть); Толстые коты и цитаты о любви; Школа хобби и ремесла ""Труду"" (TrueDO); FrrFrrHouse; Red Head Sound — Перевод и Озвучивание; Пикчи и мемы с котами; Lost Light; На Случай Важных Переговоров; жопичи; GAMETOUR; БОРЩ; КОТЫ И МЕТАЛ",
м,30.8.1981,Москва,"Rakadang Jahuka; Asian Sexy Girl; Car Hub; Naked Movie; Битвы животных | WILDLIFE; Mr. Pinhole; Stand Up Central | Стендап Централ; Гурам Амарян; Chop-Chop; HellaGoodPhotos; Apple blog; VAVAN; ВИДОСИКИ; luxury bag | сумки оптом | Садовод 23-23; zhenatnamarine; Юлия Барановская; Визуальная философия; Bronze; IVLEV CHEF; Кожаные рюкзаки российского бренда - ""Рюкзак""; Всратые коты; ALI.Y; Озвучки Rumble; Community Lunar Dolphins; Nature Science; Комьюнити; МОТО; Вездеходы; Книга животных; HOHORO | Сеть кофеен самообслуживания; Need For Deep™; СИЛА МЫСЛИ; Сам Себе Автомеханик; Geely Санрайз Групп; шлакоблокунь и друзья; N U D I T É; Кинохит; пёсы; Пленкография; Gudim.",
м,23.3.1988,Новосибирск,"ВОЕННЫЙ ОБОЗРЕВАТЕЛЬ; Русский маркетинг; Андрей Захарян | Официальная группа; TexTerra; Артемий Лебедев; СВЕРХДЕРЖАВА; Церебро Таргет | продвижение и реклама бизнеса; Эндуро Барахолка; Медиториум | обучение по медитациям; Автоаксессуары SKYWAY; Chopper Motorcycle; Дальняк.рф™; Барахолка BMW. Мотоциклы, Запчасти и Услуги .; DanceBike - МотоЭкип Б/У; Битва с боссом каждый день; •СВИН АНАРХИИ• 1% moto-news; Midjourney — арты от нейросети; Сервис продвижения товаров на Wildberries и Ozon; Ван Гог за тушёнку; Добрые мемы : ); кокои ты зоголовок; Мы живем в Железке и Заельцовке; KTM 7\8\950\990\1050\1090\1190\1290 Adventure; Константин Исаев | Киножурналист; [BadComedian]; AliExpress для мужиков; Эндуро клуб (тот самый); 9GAG; ENDURO bazzar; Aliexpress для Байкеров; Проекты  Андрея Парабеллума; Cossa; Тинькофф; ВКонтакте; Мото-Сток; СТК Сибиряк; Добавленная Стоимость - Нужно Больше Золота; Лазарев С. Н. Любовь как состояние; ШКЯ (шутки, кайф, яшперица); Ложь пабликов ВК | ЛПВК",
ж,,Санкт-Петербург,"Midjourney — арты от нейросети; Новости Сестрорецка; СУР AI BOT Stable Diffusion - Нейросети; Высокая мода; Шедевры рекламы; Пирожковая; НОЧЬ; Словарный запас; Виктор Пелевин; Практика SMM 3.0; World of History; MOTOR | Автомобили и ДТП; Toma Fatalieva; Английский язык.; ВКонтакте для бизнеса; Виктор Пелевин; MUJUICE; Дзен; Imaginary World; МИКРОКОСМОС / MICROCOSMOS - Chillout; Современное искусство; WAVES; F Λ S H I O N I S M; Фотостудия SKYPOINT STUDIO; ШАФИРОV; SOLE FM|ФОТОГРАФЫ МИРА; Фотограф в Доминикане; TANN Model Management / модельное агентство; Маркетинг головного мозга - SMMhero.com; Рената Литвинова; E:\music\Ambient; Книги; Феминистки. Феминизм.; Daily Vibes; Купить | продать группу, куплю паблик ВКонтакте; Dj Arbatsky; "" 02:30 ""; Sigur Rós; || Книжные черви || Литература ● Книги ● Стихи; Игорь Губерман",
м,,Нижний Новгород,"Electric Lines / Электрические Линии; Афиша Нашего Города Нижний Новгород; ИКVР / ИКАР; Типография НРЛ; Говорит Горький – Клуб; Школа дизайна НИУ ВШЭ — Нижний Новгород; Vечное Lето (VL Records); ALESSA; ЦЕХ; Нижний Новгород: события; PSD | Дизайн-пространство; МБДОУ ""Детский сад № 161""; TAGO)))MAGO))); Учебник дизайнера; New Open Showcase Festival; Intelligent design; Midjourney — арты от нейросети; Ремские Компьютеры; Jawsspot Нижний Новгород; Magazine Design | Дизайн; Нижний 800; E.squire; Velvet Noir; Indie Music; Пикник «Афиши»; marmak; RUINDI; КИНОГОЛИЗМ; sfjsfgtgendgnsdgndgn; Афиша; PUNK YOU BRANDS; WHO•INDIE; Новые Альбомы; The Village; MIDNIGHT JUGGERNAUTS; TESLA BOY; Сочно о дизайне — графический дизайн и обучение; [CТРAHИЦУ]-KAK ВZLOMATЬ ВКОНТАКТЕ-ИНСТАГРАМ-[BК]; Tame Impala; The Tapeaters",
м,,Ижевск,,
м,,Дзержинск,Хвастаюсь телом; ANTI-PARTY!; Анекдоты категории Б; ГУДТАЙМС CREW; № - Новости Дня; MDCORE - Mad Deer: Core Releases; Нижний Новгород |БЕЗ ЦЕНЗУРЫ|; Наука и Техника; Художники; Random Art; Школа Parkourcity; Infornal FuckЪ; XS PROJECT; MAXIM; null; эстетика отвратительного; «Радио «Зенит» 89.7 FM; Маша и Медведи               +7 915 155 66 00; :D Видео Comedy Club HD; CS20 Автозапчасти; Looney Tunes (Весёлые Мелодии); Тени Свободы; На злобу дня; Фестиваль Татуировки; КОЛПИНСКАЯ МЕБЕЛЬ ПО ИНДИВИДУАЛЬНОМУ ПРОЕКТУ; БОРЩ; VK Україна; Parkour News; Adobe Россия; За рулем | Официальное сообщество; ***нЕфОрМаЛы НиЖнЕгО НоВгОрОДа***; БАМБУК / Сити Банкет-Холл /vip-зал/city.dzr; shit vicious хрю_SINCE 2007; Статус в Mail.Ru агенте и ICQ; Русская Сторона Реальности; Влад Медведь. поэт :); MARVEL/DC; Tattoo Artist; PYRAMID H8; Вики-разметка / SMM ВКонтакте,
ж,,Москва,,
м,,Тюмень,"Битвы животных | WILDLIFE; ЧС Тюмень; Наташа всё подняла — книги Натали Московских; Приложение Хаос-контроль; Подслушано Богандинский \ Тюмень; Хроники упадка; АЛИНА В ТЕМЕ; TheDRZJ- ОТРЯД ПОСТ-ИРОНИСТОВ ВНУТРИ; Атеист; Вижу рифмы; Домашний обзор; Штаб Кальянов | Тюмень; Нетослово#; Байки из ямба; Приют поэта; Богандинский на связи  | Тюмень; Тюмень; Netflix | Сериалы Фильмы; Подслушано | Богандинский; БАРАХОЛКА IQOS ТЮМЕНЬ!; Стихи Алексея Хазанского; Виктор Пелевин; GLAFI - World of Tanks Blitz; Нейрофотки Midjourney BOT; ЧП Тюмень; Grammar Nation; Just Story; Жуткое | Ужасы; PlayStation Store Turkey 72 | Игры, подписки; Депрессяшки; Тюменский район; Нейромашина; Ностальгия СССР | Тюменская область; Инцидент Тюмень; Афиша Тюмень | События Акции Скидки; ОЛЕГ; Тюмень Онлайн; Midjourney — арты от нейросети; ЯМБЫ СОЗНАНИЯ; ~ Главный герой - Писатель ~",
ж,,Санкт-Петербург,,
ж,,,"Вся Соционика | Поисковик; Клуб Соционических Бесед; Психософия с Йумором; Witch Diaries; caritia aeternitas.; OWL.PALETTE | окрашивание волос Москва; journal esthétique; Home; Французский летчик; Злой Психолог; popcorn grains; LUTAVIERJE / NA KUPALLIE; радоваться; luminescence; уроки теплоты; О, я от призраков больна; World of WarCraft: Classic; room goals.; Соционика_nahuy; Гексли к Габену; To be better. Психология и саморазвитие; Albertina; PSY.WEB; COME HOME; Понятная соционика; Grammar Nation; Пикабу; PLEASANT MOMENT; FemVisually; Woman's kingdom; Отказала модная железа; все psy попадают в рай; ╬● Dark InspiratioN ●╬; archetypes of gods and goddesses  ӏ архетипы; Типичный Психонавт; Тёмный Уголок; A L M E R I A; Hygge ★ Cozy ✩ Уют ★ Хюгге; Странный юмор™; Уютный Мир ♡ Уголок для Души",
м,16.8.1989,,,
м,,Москва,,
м,,Москва,,
м,,Севастополь,"Пикантная Правда; Manacost Hearthstone | Хартстоун; Доставка роллов и пиццы «Суши Фронт»; СУПЕРТЯЖ | Шаурма и кофе Севастополь; ЗШ; DigitalRazor; СУПЕРТЯЖ| Доставка Севастополь; StickerNews | Стикеры ВК; МХК; Черный список СЕВАСТОПОЛЬ; Лентач; Tony's Art; E.squire; Limoncini | Гастробистро | Севастополь; Figma; Подслушали; Лента.ру; Лола Пицца Севастополь; BlizzGame || И немного Рунтерры с miHoYo; ПОДСЛУШАНО В СЕВАСТОПОЛЕ; Словарная лента; Шедевры рекламы; Киномания - Лучшие фильмы; Пусть Поедят | Обзоры в Эфире; Midjourney — арты от нейросети; Р А С Е Я Н С Т В О; МЕМЫ; Доставка суши | пицца | Севастополь ""Хочу Суши""; ХОЧУКА Севастополь • Доставка Суши, Роллов; Дрибл; Это Интересно! Наука Gif Гиф; Smart - умный журнал!; Фитнес Рецепты — правильное и здоровое питание; Десигн; CONCEPT ART; Чебуречная в Балаклаве; MAD RABBIT; World of Warcraft: Dragonflight; БОРЩ; VK Україна",
ж,14.12.1990,Саратов,"PRAYFORSEX; Между нами, женщинами; Новинки кино; Библиотека программиста; Viktor Viden — Шедеврирование стен; LOOK OF YOUNG; Science|Наука; ХК «Альтернатива»; Better than yesterday; Таня Компаненко; Карл на Марсе; Just do it; Достойные фильмы; Neoflex; Midjourney — арты от нейросети; Афиша. Саратов; Властелин колец: Битва воинств; Just Art; Идеи дизайна интерьера; I ♡ ART; mimi; Квартирный Вопрос; MILLZ KARTA; Tanibeloved про Дом Уют Шопинг; mimi KIDS; Котий; Уникальный Дизайн; Тяжелый дым | Холодные фонтаны| Cаратов; QA Club Сообщество тестировщиков Тестирование ПО; Fototips.ru — журнал о фотографии; Это жизнь!..; Фотошоп бесплатно! Наш Монтаж; ===================== ★ ITCH∙EUPHORIA [ photographer photography свадебный фотограф ================; Lunnii kotik -- фотограф Аня Аксенова; Новинки Музыки 2024; Prosto; SERVODROID.RU-РОБОТОТЕХНИКА; Александр Киселев; JAN OSIPYAN | ЖАН ОСИПЯН; blanked",
м,,Киев,"Midjourney — арты от нейросети; Traveler's blog; Интерьер; Albertina; Epic Design; Десигн; UX Live; Советский дизайн; Я — дизайнер продуктов; Эзотерика; Джидду Кришнамурти; Coursery Design; ЦУКЛИНГ; Законы Счастливой жизни | Торсунов Олег; Рами Блект; Берёзка; Память; Logofolio | Дизайн логотипов; Дрибл; Бесплатные шрифты; Русская смерть; Design Prosmotr; Амир Исламов PRO веб-дизайн и фриланс.; Этичный бизнес и фриланс, удаленная работа; удар по iStore; E:\music\trip-hop; ॐ नमः शिवाय; hh.ru: работа есть всегда; ОМ; E:\music\dark ambient; Random Art; Ленивый День; SBBS aka BRUTAL PiT/BLACK MARКЕT FAMILY/OD/UA; Фильмы о субкультурах | Films About Subcultures; NEW WAVE OF; #Инфографика в примерах; Фридрих Ницше; E:\music\post; Design Hunters — вакансии для дизайнеров; NESIZE",
м,,Москва,,
ж,17.3.1978,,"РО ООО ""ТВОРЧЕСКИЙ СОЮЗ ХУДОЖНИКОВ РОССИИ"" по СО; forest rain.; Самарское художественное училище; Своими руками. Новинки; Институт профессионального образования СамГМУ; Опен Коллс; Типичный творческий; Семейная творческая мастерская ""ПОРТРЕТ""; Психоделия по-советски; Midjourney — арты от нейросети; Московский Дом Художника; потребительский  акционизм; Антон Павлович Чехов; CGF; АРТ искусство; пластическая Åнатомия; Алексей Фёдорович Лосев; Современное искусство; Art Traffic. Культура. Искусство; Cinemaholics; Polotno; Книги; примитив; Классическая музыка/Classical music/; Спортивно-туристический клуб ""ВелоСамара""; Новые Альбомы; ПАСАДЕНА; Короткометражные фильмы | Короткий метр; Артнаграда. Конкурсы, премии, гранты; English Page; Блог CG; Пирожки +; Фридерик Шопен | Frédéric Chopin; Рllsll — графический дизайн; cinéma insolite; Блок Александр Александрович; Пушкин Александр Сергеевич; Винтаж; Это Питер, детка! [Типичный Питер]; Культура & Искусство",Дизайнер-иллюстратор; Дизайнер; Дизайнер-иллюстратор; Художник 2D; Инженер компьютерной графики; Художник-дизайнер; Дизайнер
м,30.1.1991,Москва,[BadComedian]; Эстетика ебеней; Гаснут Огни; Панельки; This Film Does Not Exist | Midjourney & DALL‑E; ANOIR; Midjourney — арты от нейросети; Саймон Столенхаг | Simon Stalenhag; E.lementaL; Юнона - космический аппарат,
м,13.1.2009,Кемерово,,
м,,Королёв,,
ж,,Омск,"Уроки фотошоп | Дизайн | Инфографика; Черничный паблик; Design Prosmotr; Академия; Шамиль Ахмадуллин; Вакансии для дизайнеров фриланс; Aquarelle Wings - акварель ручной работы; Бесплатные Уроки Рисования | Арт Марафоны Курсы; в маленькой книжке; 5 красок - бумага для акварели; Радим | Дизайн и Маркетинг; Блог Евгения Демьянова; Кисти Альбатрос | Товары для художников; Anynettoys; Все конкурсы, гранты, стипендии, вакансии 2024; Mobee Art | Материалы для творчества; Infogra.ru — Лучшее для дизайнера; Шрифтотека; Логомашина учит; CG Ресурсы; Kaino university; Школа «Лин Дизайн»; Дизайн пространство | Конкурсы, батлы; Уроки фотографии; ZeroPS | Учебники Digital; Смешно до Слёз ツ; Школа продвижения дизайнеров Ксении Панюковой; Уроки и туториалы; PNG | PHOTOSHOP | IG+; Правила жизни; Денис Каримов / Трафик на Конверсию; ЗАКАЗ НА ДИЗАЙН: заказать сайт, логотип, фриланс; Текст сам себя не напишет; Пошаговый дизайн ногтей | Бесплатное обучение; ФИЛОСОФИЯ | НАУКА | КУЛЬТУРА; Удаленная работа; AI club (нейросети, ИИ, заработок с нейросетями); Forbes; Ретушь и дизайн | Басманов Максим; ДИЗАЙН АФИША: выставки,курсы,конкурсы дизайнеру",
м,16.4.1988,Самара,"Champions Cup | ФУТБОЛ; Подслушано | Самара; Мужская одежда и обувь Самара | ДИСКОНТ 63; ЧП САМАРА; № - Новости Дня; NR; ФК БАРСЕЛОНА ∞ FC BARCELONA; Самара Барахолка; Реальный Футбол; СИЛА; Честная Самара; Лена Лень • Тату Самара; АвтоБарахолка163 Самара Тольятти авто рынок; BN; КиноКайф - Лучшие фильмы; MDK; Новости Самары -  Самара life; Павел Воля; Самара попутчики; Mash | Мэш; МХК; StreamPub; D4; ТАСС; Орленок; Черный список Самара; check you; #MNOGOKROSS; Mercedes-Benz Society; UncleBjorn - Стримы; «На Стиле»-мужская одежда,обувь и аксессуары; Омар Хайям и другие великие философы; BOYS SAMARA; Красивые места Самары и области; HD Кино - Фильмы онлайн 2024; Raketa Shop | МУЖСКАЯ ОДЕЖДА САМАРА; Лучшее из сети; GabeStore; World of Warcraft: Dragonflight; Самара",
ж,14.12.1995,Москва,,
м,,Красноярск,Blender 3D; N + 1; Лентач; C-c-combo breaker; Сделай сам - своими руками; ГОСПОЖА КАЛАМБУР; CG Ресурсы; Инструментальная музыка; junior3d; Хабр; Всратые Лысые Коты; 3D ДЕГРАДИРОВАНИЕ | CG BLOG; Unreal Engine 4 / 5; Книга животных; Типичный программист; BRIGMAN; Промышленный предметный дизайн; INDUSTRIAL DESIGN; «Элементы»; Как в лучших домах Парижу; Gamedev suffering; Попуги :>; Отсталые в развитии коты; кибермодерн; Microbia; Zhe; Работа в геймдеве (вакансии); CGMGZN; velvet_cat_on_a_grave; Библиотека программиста; 0107 music; INDIE SPACE – площадка инди-разработчиков; FDRVNASTASIA; Программирование; Программирование ITmozg:; Droider.ru - Нескучный сайт о гаджетах; Duran; Пирожки +; Туристский Красноярск | Столбы | Ергаки | Байкал; Порошки,
м,,,,
ж,,Нижний Новгород,"Красивые места на Земле - Туризм - Путешествия; Kid's Cinema Club; Fjord | Скандинавия | Северная Европа; Grachev art; BasicDecor | Дизайнеры интерьера; Рукоделие | Вязание; ART studio. Художники; Школа фигурного катания ""ИСКРА"" НИЖНИЙ НОВГОРОД; Я нашел себя в пути; Академическая Скульптура; Парник/Цветы и растения/; Home.Forma Авторские предметы декора; Бохо | Творческий стиль; Творцы без тормозов; Прованс ֍ Интерьеры ֍ Дизайны ֍ Стили; Design School; Твой любимый  Scandinavian style; Креативный уголок.; Nesthome | Шторы | Мягкая мебель | Производство; Мировая Живопись; Горьковский Чан; Север в моей крови; buketvstekle - интерьерные гербарии; Парк «Швейцария» || Нижний Новгород; Lino Squirrel; iSchool: клад материалов для саморазвития; ""Тихий Дворик""; Мировая живопись; Академическая живопись; modern symbolisme art nouveau design; КЛУБ ОСОЗНАННЫХ И ЛЮБЯЩИХ РОДИТЕЛЕЙ-дети и семья; чай со вкусом коммунальной квартиры; KRAKATAU; Интересная планета - путешествия, туризм; АлоэВера; ADME; Арт-проекты, мастер-классы, обучение; RADIO TAPOK; Клуб Люмьер; ИЗ ГОРОДА В ДЕРЕВНЮ",
м,,Петрозаводск,,
м,,Симферополь,Как я встретил столбняк; Литература | Великие поэты; Идеи вашего дома; Интересные Факты; Золотые руки | Строительство и ремонт; Искусство реальности; Пятёрочка; МТС; Квартирный Вопрос; Smart Money | Бизнес журнал; Mash | Мэш; Прораб | Строительство и ремонт; Иллюзионист; Своими руками; Домашние хитрости | Гений креатива; VK Dota 2; Fairwind; Моя дача; ▲Выжить на сотку▲; Стартапы и бизнес; Traveler's blog; Apple; Play; Cybersport.ru; Лурк; The Nerd; Артемий Лебедев; Интересные штуки; Мобильная фотография; Amazing GoPro; Virtus.pro; Team Spirit; SlideshowArt; ПСИХОЛОГИЧЕСКИЙ ЖУРНАЛ; Концептуальный вандализм | КВ; Художественная Фотография; Чердак - крафтовые изделия из дерева; БИЗНЕС ИДЕИ; Вижу рифмы; JavaRush,
м,29.9.1956,Протвино,"ВКонтакте; Just English; Чижик; RADIO TAPOK; Сола Монова; Роскосмос; Страдающее Средневековье; Странный юмор™; красота народов мира; Curiosity-марсоход, Perseverance и другие; Мем дивижн; Книги - скачать, советы, литература; Русское географическое общество; Советские учебники; Заброшенные города мира; Лисы; Случайный Ренессанс; Author Today | Автор Тудей; Sci-Hub | Открытый доступ к научной информации; Реалистичные аниме арты; AllTime.ru; Палеонтология и эволюция биосферы; China Arts | Арты, AI, нейросеть; Цифровая история; Джио Россо; Всё как у зверей / Евгения Тимонова; Электронная историческая библиотека; Art for adults; White Box; RESPAWN Journal Ⓡ; Fantastic art; Cat_Cat; Inquizitor; Хранилище.Историческая литература.Книги.; Музей Будущего; Старая Книга; ФИНИСТА. ЧАСОДЕИ. ЛУНАСТРЫ. ЧАРОДОЛ; Терри Пратчетт - цитаты, книги, обсуждения.; Смелый Геолог; Midjourney — арты от нейросети",
м,25.3.1987,Новоаганск,"я живу в россии и мне не страшно; НАШЕ; The Prodigy; БЕЗРУКОВ; Живописность русских коммуналок; Телеканал 2х2; Книжный маньяк; Другая Философия; Жэньминь жибао онлайн | Новости Китая; Чердак - крафтовые изделия из дерева; 220 Вольт | Инструменты и садовая техника; Журнал «Нож»; Дзэн-Буддизм; Все конкурсы, гранты, стипендии, вакансии 2024; Moments of History; кто-то нарисовал; Русская смерть; Химия – Просто; Игорь Губерман; Магазины настольных игр Hobby Games; Вокруг света; Настольные игры издательства Hobby World; Бука; Научная Фантастика; Олдскул; Борис Гребенщиков; Виктор Пелевин; GaGa.ru – настольные игры; Sci-Hub | Открытый доступ к научной информации; Ботанический сад БИН РАН; Игорь Растеряев; Zubkov; Север | North; АЭРОСТАТ; Егор Летов и Гражданская Оборона; MUJUICE; Евгений Гришковец говорит и пишет жизненно...; Паровой журналъ |Стимпанк|Steampunk|; Alina Gingertail; Поехавшие Обложки",
м,,Санкт-Петербург,Я ♡ КИНО; ИМПЕРИЯ КИНО | ЧЕЛОВЕК-ПАУК | НОВИНКИ 2023; Популярная музыка; Шпильки | Женский Журнал; RECORD; Science|Наука; Знаете ли Вы?; Леонардо Давинчик - Знакомства; Fashion - мода и стиль; Омар Хайям и другие великие философы; Интересные факты; Школа ремонта; Мир Танков; Новинки кино; Без кота и жизнь не та ツ; Пикабу; Искусство реальности; РИА Новости; Дзен; Shadow Fight; Оружие Человечества; Шедевры рекламы; История|History; M O D A; Мужские мысли; Traveler - Путешествия и туризм; Мир красоты; По Фрейду; ИДЕИ; Warface; Кинолюбители - Лучшие фильмы; Здоровое тело. Мы за здоровый образ жизни; НОВИНКИ КИНО 2024 | ЛУЧШИЕ ФИЛЬМЫ; Лучшие мысли | Саморазвитие | Психология; Клуб Молодых Мам (КММ); ВКонтакте для бизнеса; КиноКайф - лучшее из мира кино!; Кот Учёный; Философия | Эзотерика | Психология; Циник,фотограф
м,30.5.1985,Ростов-на-Дону,Котизм; Котий; Ростов Главный — новости Ростова-на-Дону; RADIO TAPOK; Atomic Heart; Эстетика ебеней; RPG Geeks; Навигатор игрового мира; SCP Foundation; STEAMBUY.COM - продаём игры с 2011 года!; Free Steam; СОЛНЕЧНО -  добро и позитив; ПИРАТСКАЯ БУХТА; Reanimaция; Синие коты Рины Зенюк; Поехавшие Обложки; Орнитология. Птицы мира; Mecha Project; AP-PRO: Stalker; DOS4GW.EXE; WIN95.EXE™; Фан-клуб; The Retrowavers; 8-bit Folder; КИНАМАНИЯ - Территория ностальгии; Мифология Лавкрафта; Советское искусство 1970-1980-х; DENDY FOREVER!™; Midjourney — арты от нейросети; Heroes of Might & Magic III; Лакшери-Котакшери; MinecraftMain.Ru; Drum Pad Machine - Сообщество Битмейкеров; ЖК Суворовский Ростов-на-Дону официальная группа; Old Pixel - PlayStation 1 | PSone | PS1 Classic; Ростов-город; КИНО КЛАССИКА; Смута; SEGA MEGA DRIVE; Советские мозаики,
м,,Тюмень,"МУТАНТМОТОРСПОРТ; Киномания - Лучшие фильмы; ЧБД; Мизантроп; Барахолка БК | Тюмень | Авто; Школа Экстремального вождения | Тюмень; Студия Аналитики; LABELCOM; lol stuff; YUMMY | ВКУСНЫЕ РЕЦЕПТЫ; The Gentleman; Hardcore Fighting Championship; Fitness & Bodybuilding; Dota Today; Диски Колёса 4х100 4х98 Wheels Club рынок; ''ГрузГарант72""; WERIDE | Техническое превосходство; ЛИТВИН; BLACK PIKE Пакрафты | Гермоупаковка | Катамараны; Федерация волейбола Тюменской области; Боевая Классика; Midjourney — арты от нейросети; Боевая Классика Тюмень; DK PROduct; PROTOPOPOV PRODUCTION; Достойные фильмы; Амортизаторы Шишкин Workshop; Лепра; Халтура Тюмень | Работа; Тюмень: 72news. Новости Тюмени; Это НОВОСТИ!; ЧС Тюмень; Твое любимое кино; Бизнес цитатник | психология и саморазвитие; БИРЖА МЕМОВ; hh.ru: работа есть всегда; Халтура Тюмень | Работа; Forbes; анекдотов.net; Четкие Приколы",
м,,Kraków,,
м,,Краснознаменск,"Design Prosmotr; Полжизни я пропил, полжизни пропью; PSD | Дизайн-пространство; Behance; Рllsll — графический дизайн; Арт-посольство Супернова; Бехайнсер | Дизайн; Vandrouki | Путешествия почти бесплатно (RU); Оди. Журнал о дизайне; 60172824s; Школа Гранича; RB.RU | Медиа про бизнес и технологии; Типографика; Infogra.ru — Лучшее для дизайнера; Фриланс; 35mm; Posterino | искусство плаката; BRUSH.GURU | Делаем Творцов; Я — дизайнер продуктов; Coursery Design; Skillbox: образовательная платформа; Spark; Midjourney — арты от нейросети; Дрибл; Фриланс-биржа. Заказы; Школа цигун и кунг-фу Шаолиня Мастера Ши Янбина; Тинькофф; Sasha Swamp; Лапка художника; HALA VANDALA | ГРАФФИТИ ЖУРНАЛ; Бесплатные шрифты; Дизайн-кабак; Cards and care; Обучим Cinema 4D; Intelligent motors; Марат Сафин; Экспедиция ВОСХОД; UX Notes; Черно-Белый Краснодар; Temple of Design",
